periodico,Tipo de distribución geográfica,Estado,Municipio,Puntos cerrados e Identificados,Total
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,Asientos,,30
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,Calvillo,,287
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,Cosio,,29
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,El Llano,,19
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,Jesus Maria,,412
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,Pabellon De Arteaga,,195
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,Rincon De Romos,,249
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,San Francisco De Los Romo,,189
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,San Jose De Gracia,,65
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,Tepezala,,32
AGUASCALIENTES EL HERALDO ,Local,Aguascalientes,Aguascalientes,,15977
AGUASCALIENTES EL HERALDO ,Local,Jalisco,Encarnacion De Diaz,,30
AGUASCALIENTES EL HERALDO ,Local,Jalisco,Teocaltiche,,71
AGUASCALIENTES EL HERALDO ,Local,Zacatecas,Loreto,,155
AGUASCALIENTES EL HERALDO ,Local,Zacatecas,Luis Moya,,30
AGUASCALIENTES EL HERALDO ,Local,Zacatecas,Villa Garcia,,20
EL SOL DEL CENTRO ,Local,Aguascalientes,Jesus Maria,,258
EL SOL DEL CENTRO ,Local,Aguascalientes,Rincon De Romos,,198
EL SOL DEL CENTRO ,Local,Aguascalientes,Calvillo,,329
EL SOL DEL CENTRO ,Local,Aguascalientes,San Francisco De Los Romo,,95
EL SOL DEL CENTRO ,Local,Aguascalientes,Aguascalientes,,11366
EL SOL DEL CENTRO ,Local,Jalisco,Encarnacion De Diaz,,135
EL SOL DEL CENTRO ,Local,Jalisco,Villa Hidalgo,,150
EL SOL DEL CENTRO ,Local,Zacatecas,Loreto,,206
EL SOL DEL CENTRO ,Local,Zacatecas,Luis Moya,,83
EL SOL DEL CENTRO ,Local,Zacatecas,Ojocaliente,,66
EL SOL DEL CENTRO ,Local,Zacatecas,Villa Garcia,,72
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,San Francisco De Los Romo,,20
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,Aguascalientes,,688
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,Asientos,,60
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,Calvillo,,30
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,Cosio,,30
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,El Llano,,10
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,Jesus Maria,,90
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,Pabellon De Arteaga,,40
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,Rincon De Romos,,60
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,San Jose De Gracia,,20
MIÉRCOLES DE EL CIRCO ,Local,Aguascalientes,Tepezala,,10
MIÉRCOLES DE EL CIRCO ,Local,Jalisco,Villa Hidalgo,,10
MIÉRCOLES DE EL CIRCO ,Local,Jalisco,Ojuelos De Jalisco,,40
MIÉRCOLES DE EL CIRCO ,Local,Jalisco,Lagos De Moreno,,650
MIÉRCOLES DE EL CIRCO ,Local,Jalisco,Teocaltiche,,20
MIÉRCOLES DE EL CIRCO ,Local,Jalisco,Encarnacion De Diaz,,20
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Calera,,500
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Fresnillo,,990
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,General Enrique Estrada,,20
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Guadalupe,,130
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Jerez,,60
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Loreto,,60
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Luis Moya,,20
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Ojocaliente,,20
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Trancoso,,10
MIÉRCOLES DE EL CIRCO ,Local,Zacatecas,Zacatecas,,440
EL MEXICANO GRAN DIARIO REGIONAL ,Local,Baja California,Playas De Rosarito,,3280
EL MEXICANO GRAN DIARIO REGIONAL ,Local,Baja California,Tecate,,3395
EL MEXICANO GRAN DIARIO REGIONAL ,Local,Baja California,Tijuana,,23580
EL MEXICANO GRAN DIARIO REGIONAL ,Internacional,Estados Unidos,,,3180
EL MEXICANO GRAN DIARIO REGIONAL ENSENADA ,Local,Baja California,Ensenada,,10390
EL MEXICANO GRAN DIARIO REGIONAL ENSENADA ,Local,Baja California,Vicente Guerrero,,246
EL MEXICANO GRAN DIARIO REGIONAL MEXICALI ,Local,Baja California,Mexicali,,4410
EL MEXICANO GRAN DIARIO REGIONAL MEXICALI ,Local,Sonora,San Luis Rio Colorado,,840
EL MEXICANO GRAN DIARIO REGIONAL MEXICALI ,Internacional,Estados Unidos,,,150
EL RAPIDÍN LAS NOTICIAS COMO VA ,Local,Baja California,Tijuana,,10456
EL SOL DE TIJUANA ,Local,Baja California,Tecate,,223
EL SOL DE TIJUANA ,Local,Baja California,Playas De Rosarito,,129
EL SOL DE TIJUANA ,Local,Baja California,Mexicali,,216
EL SOL DE TIJUANA ,Local,Baja California,Tijuana,,5143
EL SOL DE TIJUANA ,Internacional,Estados Unidos,,,194
EL VIGÍA PERIODISMO CON LA GENTE ,Local,Baja California,Ensenada,,15000
FRONTERA DIARIO INDEPENDIENTE DE TIJUANA ,Local,Baja California,Ensenada,,294
