info_Nombre de la publicación aprobada por el Indautor,info_No. Expediente en CCPRI,info_Periodicidad,info_Nombre comercial,info_Nombre fiscal,info_RFC del medio impreso,info_Estado,info_Número exterior,info_Código postal,info_Municipio,info_Colonia,info_Calle,info_Teléfono1,info_Presidente/a,info_Director/a editorial,info_Jefe/a de información y/o redacción,info_Fecha fundación,info_Fecha ejemplar,info_Página electrónica,info_Correo electrónico,info_Director/a general,info_Representante legal,info_Gerente comercial,info_Ejemplar de muestra,info_Cuenta con código de ética,info_Carta protesta firmada por el/la títular o el/la representante legal del medio impreso sobre requisitos obligatorios,info_Carta de conocimiento de leyes generales firmada por el/ella representante legal y editor(a) responsable,info_Tipo Tarifa,circulacion_Nombre de la publicación aprobada por el Indautor,circulacion_No. Expediente en CCPRI,circulacion_Periodicidad,circulacion_Fecha de ingreso/actualización del archivo PDF en el sistema,circulacion_Fecha de emisión del certificado,circulacion_Tiraje promedio,circulacion_Tipo de persona física o moral que lleva a cabo la certificación,"circulacion_Nombre, denominación social o razón social según corresponda",circulacion_Número de ediciones evaluadas,circulacion_Promedio de circulación,circulacion_Ventas,circulacion_Devoluciones,circulacion_Circulación pagada,circulacion_Promedio de circulación pagada,perfil_Nombre de la publicación aprobada por el Indautor,perfil_No. Expediente en CCPRI,perfil_Periodicidad,"perfil_Nombre, denominación o razón social",perfil_Estado,perfil_Núm. Exterior,perfil_Núm. Interior,perfil_Código Postal,perfil_Municipio/Delegación,perfil_Colonia,perfil_Calle,perfil_Teléfono,perfil_Página electrónica,perfil_Instrumento de medición,perfil_Universo,perfil_Tamaño de muestra,perfil_Nivel de confianza,perfil_Inicio,perfil_Termino,perfil_Tipo de entrevista o estrategia para el estudio,perfil_Margen de error,perfil_Mujeres,perfil_Hombres,perfil_Urbana,19-24,25-34,35-44,45-54,AB/C+,C,D+,Licenciatura,Postgrado,Preparatoria o Carrera Técnica,Primaria,Secundaria,Ama De Casa,Estudiante,Otro,Retirado,Trabaja Tiempo,Trabaja Tiempo Completo,info_Gerente general,circulacion_Curriculum,perfil_Persona que realiza el perfil del/la lector/a,perfil_Correo Electrónico,55-64,65 y más,D/E,Comerciante,Empleado,Hogar,Industrial,Obrero,Profesionista,circulacion_Distribución gratuita,circulacion_Circulación gratuita,circulacion_Promedio de circulación gratuita,Jubilado,Labores Del Hogar,info_Teléfono2,circulacion_Suscripciónes pagadas,Empleado IP,Empresario,Profesionista Independiente,Servidor Público,perfil_Rural,13-18,Iniciativa Privada,info_Número interior,circulacion_Directorio,circulacion_Metodología,Autoempleado,Director/Gerente,Maestro,Labor De Hogar,circulacion_Distribución a personas identificadas,circulacion_Circulación controlada,circulacion_Promedio de circulación controlada,Trabaja Medio Tiempo,0-12,Comerciantes,Desempleados,Estudiantes,Industriales,Política,Profesionistas,Otros,Sin Estudios,Empleados,Funcionarios,Al Hogar,Jubilado/Pensionado/Retirado,Temporalmente Desempleado,Trabaja,circulacion_Distribución calificada,circulacion_Circulación calificada,circulacion_Promedio de circulación calificada,info_Teléfono3,info_Teléfono4,Pensionado,Jubilado O Pensionado,Profesionistas Independientes,Otra,info_Fax,PPProfesionista Independiente,Agricultor,Ejecutivo,Funcionario Publico,Gobierno,Trabajo Por Su Cuenta,Desempleado,perfil_Mixta,Agricultor/Campesino,Comerciante Ambulante,Comerciante Formal,Empleado Empresa Privada,Pensionado/Jubilado,Periodista,Profesor,Trabaja Por Su Cuenta Como Profesionista,Trabaja Por Su Cuenta En Oficios,Funcionario Público,Sector Empresarial,Negocio Propio,Obrero / Artesano,Por Su Cuenta,Ventas,CASA,ESCUELA,OTROS,TRABAJO,TRANSPORTE,Independientes,Sector Público,Retiro,Trabajo Mediotiempo,Trabajo Tiempo Completo,Al Hogar Y Trabaja 1/2 Tiempo,Estudiante Y Trabaja 1/2 Tiempo,Solo Trabaja 1/2 Tiempo,Director,Dueño O Socio,Gerente,Empleado Privado O Público,Trabaja Medío Tiempo,Agricultor Y Ganadero,Temporamente Desemplado,Estudiante Y Trabaja Medio Tiempo,Servidor Publico,Labores DelHogar,Servidores Público,Profesionista Independiene,Empleado Independiente,Rofesionista,Servicio Pública,Estudiante Y Trabaja,Trabajo,No Contestó,Servicio Publico,Estudiante Y Trabaja 1/2 Medio Tiempo,Funcionario,circulacion_Vendidos a un precio menor del 50%,EMPLEADOS,FUNCIONARIOS,PROFESIONISTAS,Empresario IP,Empresa,Trabaja Por Su Cuenta,IP,Jubildo,Jubilado/pensionado/retirado,Político,Estudiente,Administrativos,Educadores,"Otros Profesionistas Diversos (ingenieros, Contadores)",Esmpresario,Trabajo Completo,Trabajo Medio Tiempo,Amas De Casa,Ejecutivas,Empresaria,Comercante,Profeaionista,Estudante,Estuiante,Empleado Ip,Comerciate,Profesional Independiente,Empleo IP,Servicio Público,Administración Pública,Diseño / Propietario,Jubilado O Pendionado,Agricultor O Ganadero,Empleado Privado,Jubilado Y Pensionado,Patrón/Empresario/Profesionista/Independiente,Trabaja Medo Tiempo,Obrero Pemex,Profesionista Independietne,Servicios Públicos,info_Alto,Estudiante Trabaja 1/2 Tiempo
AGUASCALIENTES EL HERALDO,CCPRI/3/TC/13/19936,Diario,Aguascalientes El Heraldo,"El Heraldo de Aguascalientes Compañia Editorial, S. de R.L. de C.V.",HAE550425QX9,Aguascalientes,120,20000,Aguascalientes,Centro,José María Chávez,449.915.3231 ,León Mauricio Bercún López,Ana Silvia Lozano Galindo,Ana Silvia Lozano Galindo,08 OCT 1954,01 ABR 2022, www.heraldo.mx,correo@heraldo.mx,León Mauricio Bercún López,Irma Ramírez Guzmán,Edmundo Lee Rodríguez,SI,NO,SI,SI,Periódico,AGUASCALIENTES EL HERALDO,CCPRI/3/TC/13/19936,Diario,07 ABR 2022,31 MAR 2022,18430,Certificadora,"M & A Calificación de Medios, S.C.",86,17450,1529940,29240,1500700,17450,AGUASCALIENTES EL HERALDO,CCPRI/3/TC/13/19936,Diario,"M&A Investigación de la Comunicación, S.C.",Ciudad De México,393,301,6500,Cuauhtemoc,Cuauhtémoc,Paseo de la Reforma,5555146191,http://www.moctezumayasociados.com.mx,Encuesta,69381,300,95,15 FEB 2022,01 MAR 2022,Internet,Más Menos Cinco,47%,53%,100%,12%,26%,23%,39%,36%,49%,15%,54%,15%,23%,1%,7%,6%,5%,4%,21%,10%,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SOL DEL CENTRO,CCPRI/3/TC/08/18050,Diario,El Sol Del Centro,"Cía. Periódistica del Sol de Aguascalientes, S.A. de C.V.",PSA100706RW4,Aguascalientes,460,20000,Aguascalientes,Zona Centro,Francisco I. Madero,449.915.3005 ,Paquita Ramos de Vázquez,Mario Fernando Mora Legaspi,Mario Luis Mora Rocha,25 ABR 1945,, www.elsoldelcentro.com.mx,jgonzalez@elsoldelcentro.com.mx,Mario Fernando Mora Legaspi,Carlos Salvador Huerta Lara,Jesús Rafael Pimentel González,NO,SI,SI,SI,Periódico,EL SOL DEL CENTRO,CCPRI/3/TC/08/18050,Diario,26 ABR 2021,08 OCT 2020,13217,Certificadora,Agencia Certificadora y Gestora de Medios SC,92,12958,1215964,23828,1192136,12958,EL SOL DEL CENTRO,CCPRI/3/TC/08/18050,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Encuesta,16198,315,97,28 JUL 2020,01 SEP 2020,Internet,Más Menos Tres,34%,66%,100%,7%,20%,29%,19%,56%,24%,12%,50%,16%,23%,,11%,,5%,8%,,,,Juan José González Pérez,SI,MORAL,acgm.sc@gmail.com,12%,13%,8%,10%,30%,7%,10%,10%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIÉRCOLES DE EL CIRCO,CCPRI/3/TC/17/20792,Semanal,Míercoles De El Circo,Alejandro González Muñóz,GOMA670713GL2,Aguascalientes,1503,20126,Aguascalientes,Fracc. Pozo Bravo,Pánfilo Natera,449 915.7726 ,,Alejandro González Muñoz,,11 ENE 2005,19 ENE 2022, www.noticieroelcirco.mx,noticieropp@yahoo.com.mx,Alejandro González Muñoz,,Alejandro González Muñoz,SI,NO,SI,SI,Periódico,MIÉRCOLES DE EL CIRCO,CCPRI/3/TC/17/20792,Semanal,01 MAR 2022,25 FEB 2022,5000,Certificadora,"Romay Hermida y Cía, S. C.",13,4048.15,63733,11957,51776,3982.77,MIÉRCOLES DE EL CIRCO,CCPRI/3/TC/17/20792,Semanal,,Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,4900,500,95,01 DIC 2021,31 DIC 2021,Internet,Más Menos Cinco,45%,55%,100%,8%,24%,41%,20%,,68%,32%,,,70%,10%,20%,,6%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,7%,,31%,46%,,,,,850,850,65.38,5%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL MEXICANO GRAN DIARIO REGIONAL,1/432-95-11663,Diario,El Mexicano El Gran Diario Regional,"Tenedora Elcoli, S.A. de C.V.",TEL130114AX1,Baja California,3743,22540,Tijuana,Los Pirules Tijuana,Gral. Lázaro Cárdenas,664.104.2400 ,Eligio Valencia Alonso,Alberto Sarmiento Reyes,Alberto Sarmiento Reyes,22 OCT 1959,30 JUN 2019, www.el-mexicano.com.mx,mextij@el-mexicano.com.mx,Eligio Valencia Alonso,Eligio Valencia Alonso,Lilian Valencia Alonso,SI,NO,SI,SI,Periódico,EL MEXICANO GRAN DIARIO REGIONAL,1/432-95-11663,Diario,29 NOV 2019,06 NOV 2019,35800,Certificadora,"Romay Hermida y Cía, S. C.",91,33434.95,3031180,207108,2969780,32634.95,EL MEXICANO GRAN DIARIO REGIONAL,1/432-95-11663,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,1600,500,95,01 SEP 2019,30 SEP 2019,Internet,Más Menos Cinco,55%,45%,100%,18%,30%,26%,,26%,27%,22%,20%,5%,41%,12%,22%,,13%,,,,,Eligio Valencia Alonso,,MORAL,romayhermidayciasc@gmail.com,26%,,25%,,,,,,,72800,72800,800,5%,21%,664.104.2401 ,145708,18%,15%,17%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL MEXICANO GRAN DIARIO REGIONAL ENSENADA,CCPRI/3/TC/09/18578,Diario,El Mexicano Gran Diario Regional Ensenada,"Tenedora Elcoli, S.A. de C.V.",TEL130114AX1,Baja California,40,22800,Ensenada,Centro Ensenada,Av. Ruiz,64.6178.1501 ,,Alberto Sarmiento Reyes,Alberto Sarmiento Reyes,22 OCT 1959,30 JUN 2019, www.el-mexicano.com.mx,mexens@el-mexicano.com.mx,Eligio Valencia Alonso,Eligio Valencia Alonso,Lilian Valencia Alonso,SI,NO,SI,SI,Periódico,EL MEXICANO GRAN DIARIO REGIONAL ENSENADA,CCPRI/3/TC/09/18578,Diario,29 NOV 2019,06 NOV 2019,11300,Certificadora,"Romay Hermida y Cía, S. C.",91,10636.3,868523,54967,940603,10336.3,EL MEXICANO GRAN DIARIO REGIONAL ENSENADA,CCPRI/3/TC/09/18578,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,1300,500,95,01 SEP 2019,30 SEP 2019,Internet,Más Menos Cinco,55%,45%,,18%,30%,26%,,26%,27%,22%,20%,5%,41%,12%,22%,,13%,,,,,Eligio Valencia Alonso,SI,MORAL,romayhermidayciasc@gmail.com,26%,,25%,,,,,,,27300,27300,300,5%,21%,64.6178.1502 ,127047,18%,15%,17%,11%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL MEXICANO GRAN DIARIO REGIONAL MEXICALI,CCPRI/3/TC/09/18577,Diario,El Mexicano Gran Diario Regional Mexicali,"Tenedora Elcoli, S.A. de C.V.",TEL130114AX1,Baja California,1283,21000,Mexicali,Centro Civico,Av. Pioneros,619.267.6010 ,,Alberto Sarmiento Reyes,Alberto Sarmiento Reyes,22 OCT 1959,30 JUN 2019, www.el-mexicano.com.mx,mexmex@el-mexicano.com.mx,Eligio Valencia Alonso,Eligio Valencia Alonso,Lilian Valencia Alonso,SI,NO,SI,SI,Periódico,EL MEXICANO GRAN DIARIO REGIONAL MEXICALI,CCPRI/3/TC/09/18577,Diario,28 NOV 2019,06 NOV 2019,6200,Certificadora,"Romay Hermida y Cía, S. C.",91,5400.15,438455,65958,473214,5200.15,EL MEXICANO GRAN DIARIO REGIONAL MEXICALI,CCPRI/3/TC/09/18577,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,1100,500,95,01 SEP 2019,30 SEP 2019,,Más Menos Cinco,55%,45%,100%,18%,30%,26%,26%,26%,27%,22%,20%,5%,41%,12%,22%,,13%,,,,,Eligio Valencia Alonso,,MORAL,romayhermidayciasc@gmail.com,,,25%,,,,,,,18200,18200,200,5%,21%,619.267.5937 ,100717,18%,15%,17%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL RAPIDÍN LAS NOTICIAS COMO VA,CCPRI/3/TC/16/20722,Diario,El Rapidín Las Noticias Como Va,"Impresora y Editorial, S.A. de C.V.",IED551008NR2,Baja California,13483,22439,Tijuana,ANEXA 20 DE NOVIEMBRE,Vía Rápida Pte.,66.4622.9900 ,Juan Fernando Healy Loera,Ana Cecilia Ramírez,Gonzalo Alberto Martínez López,25 JUL 2016,13 MAY 2019,,dgranados@elimparcial.com,Ricardo Salido Gaxiola,Ricardo Salido Gaxiola Mireille Sánchez Ibarra,Ivette Iñigo,SI,NO,SI,SI,Periódico,EL RAPIDÍN LAS NOTICIAS COMO VA,CCPRI/3/TC/16/20722,Diario,10 JUL 2020,23 MAR 2020,10950,Certificadora,"Romay Hermida y Cía, S. C.",121,10456.27,1169503,23600,1145903,9470.27,EL RAPIDÍN LAS NOTICIAS COMO VA,CCPRI/3/TC/16/20722,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,9000,500,95,01 DIC 2019,31 DIC 2019,Internet,Más Menos Cinco,38%,62%,100%,28%,,37%,15%,,28%,46%,,,62%,17%,21%,,19%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,,26%,26%,31%,,,,,119306,119306,986,,24%,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SOL DE TIJUANA,CCPRI/3/TC/12/19530,Diario,El Sol De Tijuana,"Cías. Periodísticas del Sol del Pacífico, S. A. de C. V",CPS7907264F9,Baja California,9971,22010,Tijuana,Zona Urbana Río,Rufino Tamayo,664.634.3233 ,Paquita Ramos de Vázquez,Eliud Ávalos Matías,DanielEduardo Ángel Rubio/Josué Eves Zamarripa,01 OCT 1989,, www.elsoldetijuana.com.mx,ragil@lavozdelafrontera.com.mx,Eliud Ávalos Matías,Carlos Salvador Huerta Lara,Marco Fernando Ballesteros Garmiño,NO,SI,SI,SI,Periódico,EL SOL DE TIJUANA,CCPRI/3/TC/12/19530,Diario,23 ABR 2021,29 SEP 2020,6023,Certificadora,Agencia Certificadora y Gestora de Medios SC,92,5905,554116,10856,543260,5905,EL SOL DE TIJUANA,CCPRI/3/TC/12/19530,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Cuestionario,6947,419,97,28 JUL 2020,24 AGO 2020,Internet,Más Menos Tres,48%,52%,96%,4%,20%,30%,25%,65%,16%,14%,45%,15%,27%,,13%,,4%,5%,,,,Rafael Sebastian Gil Robles,,MORAL,acgm.sc@gmail.com,13%,8%,5%,2%,28%,16%,2%,4%,35%,,,,,,Ext. 103 ,,,,,,4%,,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL VIGÍA PERIODISMO CON LA GENTE,CCPRI/3/TC/08/18179,Diario,"El Vigía, Periodismo Con La Gente","ISA Digital, S. de R.L. de C.V.",IDC9902021Y4,Baja California,1875,22800,Ensenada,Centro,Av. López Mateos,646 120.5555 ,,Gerardo Sánchez García,Hugo Selene Toscano García,14 DIC 2002,, www.elvigia.net,sencarnacion@elvigia.net,Arturo López Juan,Verónica Solorio Borbón,Ma Socorro Encarnación Osuna,NO,NO,SI,SI,Periódico,EL VIGÍA PERIODISMO CON LA GENTE,CCPRI/3/TC/08/18179,Diario,16 MAR 2021,19 FEB 2021,15370,Certificadora,Agencia Certificadora y Gestora de Medios SC,90,15000,1068300,33300,1350000,15000,EL VIGÍA PERIODISMO CON LA GENTE,CCPRI/3/TC/08/18179,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Cuestionario,15000,389,96,09 FEB 2021,24 FEB 2021,Internet,Más Menos Cuatro,47%,53%,91%,,5%,58%,23%,72%,15%,,51%,9%,31%,,5%,,9%,,,,,,SI,MORAL,acgm.sc@gmail.com,5%,,13%,9%,18%,5%,,5%,54%,,,,,,,315000,,,,,9%,9%,,6,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRONTERA DIARIO INDEPENDIENTE DE TIJUANA,CCPRI/3/TC/12/19580,Diario,Frontera Diario Independiente De Tijuana,"Impesora y Editorial, S.A. de C.V.",IED551008NR2,Baja California,13483,22439,Tijuana,Anexa 20 de Noviembre,Vía Rápida Poniente,664.6229.900 ,Juan Fernando Healy Loera,Ana Cecilia Ramírez,Ana Cecilia Ramírez,25 JUL 1999,, www.frontera.info,dgranados@elimparcial.com,Ricardo Salido Gaxiola,Ricardo Salido Gaxiola Mireille Sánchez Ibarra,Ivette Iñigo,NO,NO,SI,SI,Periódico,FRONTERA DIARIO INDEPENDIENTE DE TIJUANA,CCPRI/3/TC/12/19580,Diario,15 JUL 2020,23 MAR 2020,38640,Certificadora,"Romay Hermida y Cía, S. C.",121,36905.34,4109564,197103,4424890,36569.34,FRONTERA DIARIO INDEPENDIENTE DE TIJUANA,CCPRI/3/TC/12/19580,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,4000,500,95,01 DIC 2019,31 DIC 2019,Internet,Más Menos Cinco,39%,61%,100%,11%,32%,26%,22%,38%,33%,19%,30%,10%,30%,11%,19%,,16%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,3%,10%,21%,22%,,,,,40656,40656,336,2%,20%,,512429,,,19%,,,6%,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
